Zip Code,City,State,Representative
35255,Jefferson,Alabama,"Terri A. Sewell"
35259,Jefferson,Alabama,"Terri A. Sewell"
35260,Jefferson,Alabama,"Gary J. Palmer"
35261,Jefferson,Alabama,"Terri A. Sewell"
35266,Jefferson,Alabama,"Gary J. Palmer"
35283,Jefferson,Alabama,"Terri A. Sewell"
35285,Jefferson,Alabama,"Terri A. Sewell"
35287,Jefferson,Alabama,"Terri A. Sewell"
35288,Jefferson,Alabama,"Terri A. Sewell"
35290,Jefferson,Alabama,"Terri A. Sewell"
35291,Jefferson,Alabama,"Terri A. Sewell"
35292,Jefferson,Alabama,"Terri A. Sewell"
35293,Jefferson,Alabama,"Terri A. Sewell"
35294,Jefferson,Alabama,"Terri A. Sewell"
35295,Jefferson,Alabama,"Terri A. Sewell"
35296,Jefferson,Alabama,"Gary J. Palmer"
35297,Jefferson,Alabama,"Gary J. Palmer"
35298,Jefferson,Alabama,"Terri A. Sewell"
35401,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell"
35402,Tuscaloosa,Alabama,"Terri A. Sewell"
35403,Tuscaloosa,Alabama,"Terri A. Sewell"
35404,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell"
35405,Tuscaloosa,Alabama,"Terri A. Sewell"
35406,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell"
35407,Tuscaloosa,Alabama,"Terri A. Sewell"
35440,Tuscaloosa,Alabama,"Terri A. Sewell"
35441,Hale,Alabama,"Terri A. Sewell"
35442,Pickens,Alabama,"Terri A. Sewell"
35443,Greene,Alabama,"Terri A. Sewell"
35444,Tuscaloosa,Alabama,"Robert B. Aderholt, Gary J. Palmer, Terri A. Sewell"
35446,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell"
35447,Pickens,Alabama,"Mike Rogers, Terri A. Sewell, Michael Guest"
35448,Greene,Alabama,"Terri A. Sewell"
35449,Tuscaloosa,Alabama,"Terri A. Sewell"
35452,Tuscaloosa,Alabama,"Robert B. Aderholt, Terri A. Sewell"
35453,Tuscaloosa,Alabama,"Terri A. Sewell"
35456,Tuscaloosa,Alabama,"Terri A. Sewell"
35457,Tuscaloosa,Alabama,"Robert B. Aderholt"
35458,Tuscaloosa,Alabama,"Robert B. Aderholt"
35459,Sumter,Alabama,"Terri A. Sewell"
35460,Sumter,Alabama,"Terri A. Sewell"
35461,Pickens,Alabama,"Terri A. Sewell"
35462,Greene,Alabama,"Terri A. Sewell"
35463,Tuscaloosa,Alabama,"Terri A. Sewell"
35464,Sumter,Alabama,"Terri A. Sewell"
35466,Pickens,Alabama,"Robert B. Aderholt, Terri A. Sewell"
